,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,DigitalBCG | GAMMA Data Scientist,-1,"Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we work closely with clients to embrace a transformational approach aimed at benefiting all stakeholders—empowering organizations to grow, build sustainable competitive advantage, and drive positive societal impact.

Our diverse, global teams bring deep industry and functional expertise and a range of perspectives that question the status quo and spark change. BCG delivers solutions through leading-edge management consulting, technology and design, and corporate and digital ventures. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, fueled by the goal of helping our clients thrive and enabling them to make the world a better place.",4.4,"Boston Consulting Group
4.4",Melbourne,10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
1,Data Scientist,"$135,000 /yr (est.)","Overview
Our client is seeking experienced Data Scientist to assist with the delivery of various ICT Projects across the Division.
Essential criteria
· Data mining or extracting usable data from valuable data sources
· Using machine learning tools to select features, create and optimize classifiers
· Carrying out preprocessing of structured and unstructured data
· Enhancing data collection procedures to include all relevant information for developing analytic systems",-1,Interpro People,Sydney,-1,-1,-1,-1,-1,-1
2,Data Scientist,-1,"An exciting opportunity has arisen for a Data Scientist to join Findex’s dynamic Performance Consulting team.
An exciting opportunity has arisen for a Data Scientist to join Findex’s dynamic Performance Consulting team.
The Opportunity Ahead:
Reporting into the Partner for Data Science, you will work with data science team to develop cloud-based applications and provide data science consulting to our clients.
The ideal candidate has strong technical skills and deep industry experience who can demonstrate the ability to transform and integrate data to build predictive models or provide insights, for enabling better decision making, operational improvements and increased revenue.",3.3,"Findex
3.3",Australia,1001 to 5000 Employees,-1,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable
3,Data Quality Scientist,"$112,729 /yr (est.)","SYNOPSIS:
Data Quality Scientist


Applications Close Tuesday 25th May 2022 11:59PM AEST
Ongoing
Contact name: Simon Oliver
Phone: (02) 6249 9770",4.3,"Geoscience Australia
4.3",Canberra,501 to 1000 Employees,2001,Government,National Services & Agencies,Government & Public Administration,$100 to $500 million (USD)
4,"Data Science Intern, 2022/2023 Summer Australia",-1,"Working at Atlassian

Atlassian can hire people in any country where we have a legal entity. Assuming you have eligible working rights and a sufficient time zone overlap with your team, you can choose to work remotely or return to an office as they reopen (unless it’s necessary for your role to be performed in the office). Interviews and onboarding are conducted virtually, a part of being a distributed-first company.

Does the thought of uncovering the next big 'aha!' insight excite you? Do you love solving tough problems, and flourish with variety? Come join Atlassian's growing Analytics & Data Science team for the summer and use your skills to influence millions of teams around the world!

Applicants must have Australian citizenship, Australian Permanent Residency or NZ citizenship at time of application.",4.6,"Atlassian
4.6",Sydney,5001 to 10000 Employees,2002,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
5,Senior Data Scientist x 2,"$146,990 /yr (est.)","Organisation/Entity: Transport For NSW
Job Category: Projects
Job Location: Macquarie Park, NSW, AU, 2113
Job Ref No: 64441
Employment Type: Permanent Full-Time
Salary Range: $138670.0-$155309.0
About us

Transport for NSW keeps our State moving by providing safe, integrated and efficient transport systems. We put our customers at the centre of everything we do – and we do a lot. We connect people, communities and industry and manage how they use our road, rail and maritime networks and services, and even active modes like walking and cycling. The work we do connects the journeys you take every day.",3.7,"NSW Government -Transport For NSW
3.7",Sydney,501 to 1000 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable
6,Graduate Data Scientist - Melbourne,-1,"IT & Telecomms
Permanent / Full Time
Melbourne
9/5/2022
Be part of a high performing team with a great team culture
We invest time in our people and help them chart their own career trajectory
Flexible work options, competitive salary with generous leave benefits
Based in Melbourne, the Graduate Data Scientist will work alongside product management, software engineering, and project delivery teams, the Data Scientist contributes to the development and enhancement of digital products and data assets by applying advanced statistical and machine learning and data visualisation techniques. The Data Scientist also works with Shell Energy customers to analyse and visualise their data to develop insights and recommendations to help customers to manage energy use and reduce energy costs.",-1,ERM Power Limited.,Melbourne,-1,-1,-1,-1,-1,-1
7,Data Scientist,-1,"At HelloFresh, we want to change the way people eat forever by offering our customers high quality food and recipes for different meal occasions. Over the past 10 years, we've seen this mission spread around the world and beyond our wildest dreams. Now, we are a global food solutions group and the world's leading meal kit company, active in 16 countries across 3 continents. So, how did we do it? Our weekly boxes full of exciting recipes and fresh ingredients have blossomed into a community of customers looking for delicious, healthy and sustainable options. The HelloFresh Group now includes our core brand, HelloFresh, as well as: GreenChef, EveryPlate, Chef's Plate, Factor, and Youfoodz.
Job Description
The Data Scientist will be based in our head office, in Chippendale and this is a fantastic opportunity for a data-driven individual who aspires to become a full-stack data scientist. We are looking for a driven, communicative person with strong programming, analytical and problem solving skills. Ideally you are a tech savvy person with experience using SQL and Python.",3.7,"HelloFresh
3.7",Sydney,10000+ Employees,2011,Company - Public,Beauty & Wellness,Personal Consumer Services,$5 to $10 billion (USD)
8,Data Scientist,-1,"Job description
Location- Remote first.
East coast Australia. Sydney, Melbourne, Brisbane, Hobart.
TCS, Client is Home In
REQUIRED SKILLS:
Python, AWS EMR, S3, SQL, RedShift
Tableau, Excel.
Experience: 2+ years
Note: should be Australia PR/Dependent visa
Job Type: Full-time",-1,iVEGA Consulting,Parramatta,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
9,Data Scientist,-1,"NVIDIA is the world leader in Visual Computing and in the last few years, with its unparalleled GPU based computers, has been powering up all of worlds of Deep Learning, AI, accelerated data analytics, autonomous vehicles and robots around the world. NVIDIA's customers include global tech-titans and span multiple verticals such as Manufacturing, Automotive, Aerospace, Healthcare and others. NVIDIA is well positioned as the top ‘AI Computing Company’.
We are rapidly growing into various verticals as stated above and looking to grow our team with a technical leader. This role is a key member of the NVIDIA team that would manage our technical engagements in leading industries such as financial, retail, consumer internet, healthcare, video analytics, manufacturing, HPC applications and others; and to evangelize NVIDIA’s portfolio of technologies and accelerate its adoption. Have strong technical competence and the ability to be a leader who can function effectively and independently in a matrixed environment.
#deeplearning",4.6,"NVIDIA
4.6",Remote,10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
